Processing window size 3...
Building nouns list from Inaugural corpus...
Word: consciousness, Uniqueness Value: 12
Word: greatness, Uniqueness Value: 12
Word: reach, Uniqueness Value: 12
Word: republics, Uniqueness Value: 12
Word: creed, Uniqueness Value: 12
Word: word, Uniqueness Value: 12
Word: process, Uniqueness Value: 12
Word: weight, Uniqueness Value: 12
Word: mass, Uniqueness Value: 12
Word: father, Uniqueness Value: 12
Word: enterprises, Uniqueness Value: 12
Word: face, Uniqueness Value: 12
Word: injustice, Uniqueness Value: 12
Word: fulfillment, Uniqueness Value: 12
Word: officer, Uniqueness Value: 12
Word: sources, Uniqueness Value: 12
Word: remedy, Uniqueness Value: 12
Word: comfort, Uniqueness Value: 12
Word: kind, Uniqueness Value: 12
Word: application, Uniqueness Value: 12
Word: sea, Uniqueness Value: 12
Word: attack, Uniqueness Value: 12
Word: numbers, Uniqueness Value: 12
Word: city, Uniqueness Value: 12
Word: whole, Uniqueness Value: 12
Word: flag, Uniqueness Value: 12
Word: revenues, Uniqueness Value: 12
Word: assurance, Uniqueness Value: 12
Word: solution, Uniqueness Value: 12
Word: problem, Uniqueness Value: 12
Word: ideal, Uniqueness Value: 12
Word: child, Uniqueness Value: 12
Word: tyranny, Uniqueness Value: 12
Word: resolve, Uniqueness Value: 12
Word: ¡, Uniqueness Value: 12
Word: error, Uniqueness Value: 11
Word: councils, Uniqueness Value: 11
Word: consent, Uniqueness Value: 11
Word: foundation, Uniqueness Value: 11
Word: pursuit, Uniqueness Value: 11
Word: magistrate, Uniqueness Value: 11
Word: ceremony, Uniqueness Value: 11
Word: ties, Uniqueness Value: 11
Word: effects, Uniqueness Value: 11
Word: cities, Uniqueness Value: 11
Word: anything, Uniqueness Value: 11
Word: institution, Uniqueness Value: 11
Word: energies, Uniqueness Value: 11
Word: destinies, Uniqueness Value: 11
Word: weakness, Uniqueness Value: 11
Word: elements, Uniqueness Value: 11
Word: alliances, Uniqueness Value: 11
Word: militia, Uniqueness Value: 11
Word: steps, Uniqueness Value: 11
Word: heroes, Uniqueness Value: 11
Word: errors, Uniqueness Value: 11
Word: surplus, Uniqueness Value: 11
Word: arts, Uniqueness Value: 11
Word: shores, Uniqueness Value: 11
Word: habits, Uniqueness Value: 11
Word: ignorance, Uniqueness Value: 11
Word: servants, Uniqueness Value: 11
Word: behalf, Uniqueness Value: 11
Word: suffering, Uniqueness Value: 11
Word: victory, Uniqueness Value: 11
Word: efficiency, Uniqueness Value: 11
Word: climate, Uniqueness Value: 11
Word: market, Uniqueness Value: 11
Word: emergency, Uniqueness Value: 11
Word: prayers, Uniqueness Value: 11
Word: opposition, Uniqueness Value: 11
Word: old, Uniqueness Value: 11
Word: theory, Uniqueness Value: 11
Word: divisions, Uniqueness Value: 11
Word: strife, Uniqueness Value: 11
Word: guaranty, Uniqueness Value: 11
Word: inauguration, Uniqueness Value: 11
Word: diversity, Uniqueness Value: 11
Word: tendency, Uniqueness Value: 11
Word: appointment, Uniqueness Value: 11
Word: concession, Uniqueness Value: 11
Word: statesmen, Uniqueness Value: 11
Word: evils, Uniqueness Value: 11
Word: grant, Uniqueness Value: 11
Word: jefferson, Uniqueness Value: 11
Word: allies, Uniqueness Value: 11
Word: texas, Uniqueness Value: 11
Word: everyone, Uniqueness Value: 11
Word: expansion, Uniqueness Value: 11
Word: triumph, Uniqueness Value: 11
Word: arbitration, Uniqueness Value: 11
Word: courts, Uniqueness Value: 11
Word: islands, Uniqueness Value: 11
Word: agencies, Uniqueness Value: 11
Word: achievement, Uniqueness Value: 11
Word: commitment, Uniqueness Value: 11
Word: tomorrow, Uniqueness Value: 11
Word: goal, Uniqueness Value: 11
Word: recovery, Uniqueness Value: 11
Word: ¡¦, Uniqueness Value: 11
Word: instances, Uniqueness Value: 10
Word: motives, Uniqueness Value: 10
Word: obedience, Uniqueness Value: 10
Word: examples, Uniqueness Value: 10
Word: ones, Uniqueness Value: 10
Word: plan, Uniqueness Value: 10
Word: posterity, Uniqueness Value: 10
Word: ends, Uniqueness Value: 10
Word: wishes, Uniqueness Value: 10
Word: mode, Uniqueness Value: 10
Word: classes, Uniqueness Value: 10
Word: seas, Uniqueness Value: 10
Word: agitation, Uniqueness Value: 10
Word: faculties, Uniqueness Value: 10
Word: vigor, Uniqueness Value: 10
Word: despotism, Uniqueness Value: 10
Word: extension, Uniqueness Value: 10
Word: apprehension, Uniqueness Value: 10
Word: discipline, Uniqueness Value: 10
Word: inhabitants, Uniqueness Value: 10
Word: goodness, Uniqueness Value: 10
Word: attempt, Uniqueness Value: 10
Word: participation, Uniqueness Value: 10
Word: sacrifices, Uniqueness Value: 10
Word: enemy, Uniqueness Value: 10
Word: anyone, Uniqueness Value: 10
Word: discord, Uniqueness Value: 10
Word: sanction, Uniqueness Value: 10
Word: supreme, Uniqueness Value: 10
Word: west, Uniqueness Value: 10
Word: pacific, Uniqueness Value: 10
Word: distinction, Uniqueness Value: 10
Word: violation, Uniqueness Value: 10
Word: perils, Uniqueness Value: 10
Word: covenant, Uniqueness Value: 10
Word: treaties, Uniqueness Value: 10
Word: claim, Uniqueness Value: 10
Word: disease, Uniqueness Value: 10
Word: hemisphere, Uniqueness Value: 10
Word: mine, Uniqueness Value: 10
Word: gold, Uniqueness Value: 10
Word: tribunal, Uniqueness Value: 10
Word: structure, Uniqueness Value: 10
Word: proposition, Uniqueness Value: 10
Word: necessities, Uniqueness Value: 10
Word: profit, Uniqueness Value: 10
Word: mission, Uniqueness Value: 10
